Domain,IMG Genome,Genome Type,Content in mer genes,merA_copies,merA comment,merA IMG gene ID 1,merA IMG gene ID 2,merA IMG gene ID 3,merA IMG gene ID 4,merA IMG gene ID 5,merA IMG gene ID 6,merA IMG gene ID 7,merA IMG gene ID 8,merB copies,merB-like copies,merB comment,merB IMG gene ID 1,merB IMG gene ID 2,merB IMG gene ID 3,merB IMG gene ID 4,merB IMG gene ID 5,merB IMG gene ID 6,merB IMG gene ID 7,merB IMG gene ID 8,merB IMG gene ID 9-12,Phylum,Class,Order,Family,Genus,Species,Genome Name / Sample Name,Genome Sequencing Status
Bacteria,2772190613,Genome Analysis (Isolate),merA & merB-like,1,,2772263168,,,,,,,,0,2,117alt only,117alt:2772262986,117alt:2772263169,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium dioxanotrophicus,Mycobacterium dioxanotrophicus PH-06,Complete
Bacteria,2744054849,Genome Analysis (Isolate),merA & merB-like,1,,2745864949,,,,,,,,0,2,117alt only,117alt:2745864897,117alt:2745864950,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium kansasii,Mycobacterium kansasii 1010001468,Complete
Bacteria,2808606750,Genome Analysis (Isolate),merA & merB-like,1,,2810554688,,,,,,,,0,2,117alt only,117alt:2810550626,117alt:2810554689,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium mucogenicum,Mycobacterium mucogenicum 1199456.5,Complete
Bacteria,2767802298,Genome Analysis (Isolate),merA & merB-like,1,,2769649401,,,,,,,,0,2,117alt only,117alt:2769643771,117alt:2769649402,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. SWH-M3,Mycobacterium sp. SWH-M3,Complete
Bacteria,2630968954,Genome Analysis (Isolate),merA & merB-like,1,,2633904267,,,,,,,,0,2,117alt only,117alt:2633903636,117alt:2633904268,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus erythropolis,Rhodococcus erythropolis CAS922i,Complete
Bacteria,2744054776,Genome Analysis (Isolate),merA & merB-like,1,,2745611115,,,,,,,,0,2,117alt only,117alt:2745609724,117alt:2745611116,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus sp. EPR-134,Rhodococcus sp. EPR-134,Complete
Bacteria,637000248,Genome Analysis (Isolate),merA & merB-like,1,,638036564,,,,,,,,0,2,117alt only,117alt:638036565,117alt:638036566,,,,,,,,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,Rubrobacter xylanophilus,Rubrobacter xylanophilus DSM 9941,Complete
Bacteria,2579779158,Genome Analysis (Isolate),merA & merB-like,1,,2582525936,,,,,,,,0,2,117alt only,117alt:2582525937,117alt:2582525938,,,,,,,,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus sp. YIM 77859,Deinococcus sp. YIM 77859,Complete
Bacteria,2622736626,Genome Analysis (Isolate),merB-like only,0,,,,,,,,,,0,2,117alt only,117alt:2623587036,117alt:2623589304,,,,,,,,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora rhizosphaerae,Micromonospora rhizosphaerae DSM 45431,Complete
Bacteria,2767802087,Genome Analysis (Isolate),merB-like only,0,,,,,,,,,,0,2,117alt only,117alt:2768458697,117alt:2768459157,,,,,,,,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces mediolani,Streptomyces mediolani NRRL WC-3934,Complete
Bacteria,2791355434,Genome Analysis (Isolate),merB-like only,0,,,,,,,,,,0,2,117alt only,117alt:2794192255,117alt:2794192847,,,,,,,,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces nanshensis,Streptomyces nanshensis SCSIO M10372,Complete
Bacteria,2600255381,Genome Analysis (Isolate),merA & merB-like,3,,2601986829,2601986979,2601987056,,,,,,0,1,117alt only,117alt:2601987057,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium casei,Brevibacterium casei CIP 102111,Complete
Bacteria,2505679057,Genome Analysis (Isolate),merA & merB-like,3,,2505902777,2505903376,2505903536,,,,,,0,1,117alt only,117alt:2505903375,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,Micrococcus luteus J28,Complete
Bacteria,2517434006,Genome Analysis (Isolate),merA & merB-like,2,,2517447846,2517449199,,,,,,,0,1,117alt only,117alt:2517449200,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium casei,Brevibacterium casei S18,Complete
Bacteria,2547132136,Genome Analysis (Isolate),merA & merB-like,2,,2547521957,2547522180,,,,,,,0,1,117alt only,117alt:2547521956,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium senegalense,Brevibacterium senegalense JC43,Complete
Bacteria,2600255077,Genome Analysis (Isolate),merA & merB-like,2,,2600860775,2600863420,,,,,,,0,1,117alt only,117alt:2600863419,,,,,,,,,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Blastococcus,Candidatus Blastococcus massiliensis,Candidatus Blastococcus massiliensis AP3,Complete
Bacteria,2775507047,Genome Analysis (Isolate),merA & merB-like,2,,2776907429,2776907438,,,,,,,0,1,117alt only,117alt:2776907437,,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium bouchesdurhonense,Corynebacterium bouchesdurhonense SN14,Complete
Bacteria,2808606636,Genome Analysis (Isolate),merA & merB-like,2,,2810140365,2810140414,,,,,,,0,1,117alt only,117alt:2810140364,,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium riegelii,Corynebacterium riegelii UMB0243,Complete
Bacteria,2597490209,Genome Analysis (Isolate),merA & merB-like,2,,2598724524,2598724534,,,,,,,0,1,117alt only,117alt:2598724523,,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium ureicelerivorans,Corynebacterium ureicelerivorans IMMIB RIV-2301,Complete
Bacteria,2687453620,Genome Analysis (Isolate),merA & merB-like,2,,2689503552,2689503658,,,,,,,0,1,117alt only,117alt:2689503657,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,Kocuria turfanensis,Kocuria turfanensis HO-9042,Complete
Bacteria,2854154782,Genome Analysis (Isolate),merA & merB-like,2,,2854155597,2854156234,,,,,,,0,1,117alt only,117alt:2854156235,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,Micrococcus luteus 1058_MLUT,Complete
Bacteria,2849592500,Genome Analysis (Isolate),merA & merB-like,2,,2849592585,2849594259,,,,,,,0,1,117alt only,117alt:2849592584,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,Micrococcus luteus KR,Complete
Bacteria,2728369112,Genome Analysis (Isolate),merA & merB-like,2,,2729223992,2729226084,,,,,,,0,1,117alt only,117alt:2729226083,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,Micrococcus luteus NDB3Y10,Complete
Bacteria,2576861783,Genome Analysis (Isolate),merA & merB-like,2,,2579583223,2579585384,,,,,,,0,1,117alt only,117alt:2579583222,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,Micrococcus luteus RIT304,Complete
Bacteria,2849585072,Genome Analysis (Isolate),merA & merB-like,2,,2849586555,2849587369,,,,,,,0,1,117alt only,117alt:2849587370,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,Micrococcus luteus UMB0038,Complete
Bacteria,2849476578,Genome Analysis (Isolate),merA & merB-like,2,,2849477795,2849478770,,,,,,,0,1,117alt only,117alt:2849477794,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,Micrococcus luteus UMB0867,Complete
Bacteria,2623620484,Genome Analysis (Isolate),merA & merB-like,2,,2624625924,2624627600,,,,,,,0,1,117alt only,117alt:2624627601,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,Micrococcus luteus VTM4R57,Complete
Bacteria,2636416180,Genome Analysis (Isolate),merA & merB-like,2,,2639680878,2639682523,,,,,,,0,1,117alt only,117alt:2639680877,,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium nebraskense,Mycobacterium nebraskense AKUC1,Complete
Bacteria,2835082451,Genome Analysis (Isolate),merA & merB-like,2,,2835083546,2835083625,,,,,,,0,1,117alt only,117alt:2835083545,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,Pseudarthrobacter phenanthrenivorans,Pseudarthrobacter phenanthrenivorans J015,Complete
Bacteria,2788500076,Genome Analysis (Isolate),merA & merB-like,2,,2789446257,2789446443,,,,,,,0,1,117alt only,117alt:2789446256,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Tersicoccus,Tersicoccus phoenicis,Tersicoccus phoenicis 1p05MA,Complete
Bacteria,2667527978,Genome Analysis (Isolate),merA & merB-like,2,,2670280755,2670282300,,,,,,,0,1,117alt only,117alt:2670280756,,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Tsukamurellaceae,Tsukamurella,Tsukamurella tyrosinosolvens,Tsukamurella tyrosinosolvens CCUG 38499,Complete
Bacteria,2639762617,Genome Analysis (Isolate),merA & merB-like,2,,2640222274,2640227282,,,,,,,0,1,117alt only,117alt:2640222275,,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Tsukamurellaceae,Tsukamurella,Tsukamurella tyrosinosolvens,Tsukamurella tyrosinosolvens DSM 44234,Complete
Bacteria,2724679821,Genome Analysis (Isolate),merA & merB-like,2,,2728210420,2728210480,,,,,,,0,1,117alt only,117alt:2728210481,,,,,,,,,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Dokdonia,Dokdonia pacifica,Dokdonia pacifica DSM 25597,Complete
Bacteria,2836705604,Genome Analysis (Isolate),merA & merB-like,2,,2836710455,2836709950,,,,,,,0,1,117alt only,117alt:2836710454,,,,,,,,,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Echinicola,Echinicola rosea,Echinicola rosea JL3085,Complete
Bacteria,2788500484,Genome Analysis (Isolate),merA & merB-like,2,,2790839737,2790839866,,,,,,,0,1,117alt only,117alt:2790839867,,,,,,,,,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter,Maribacter sp. 4G9,Maribacter sp. 4G9,Complete
Bacteria,2744054599,Genome Analysis (Isolate),merA & merB-like,2,,2744912915,2744913007,,,,,,,0,1,117alt only,117alt:2744912916,,,,,,,,,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Rufibacter,Rufibacter ruber,Rufibacter ruber CCM 8646,Complete
Bacteria,645951844,Genome Analysis (Isolate),merA & merB-like,1,,646093564,,,,,,,,0,1,117alt only,117alt:646093563,,,,,,,,,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,Aeromicrobium marinum,Aeromicrobium marinum DSM 15272,Complete
Bacteria,2597489936,Genome Analysis (Isolate),merA & merB-like,1,,2598033261,,,,,,,,0,1,117alt only,117alt:2598033262,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agrococcus,Agrococcus pavilionensis,Agrococcus pavilionensis RW1,Complete
Bacteria,2512564011,Genome Analysis (Isolate),merA & merB-like,1,,2512630708,,,,,,,,0,1,117alt only,117alt:2512628673,,,,,,,,,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis halophila,"Amycolatopsis halophila YIM 93223, DSM 45216",Complete
Bacteria,2706795028,Genome Analysis (Isolate),merA & merB-like,1,,2708616080,,,,,,,,0,1,117alt only,117alt:2708616081,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. VKM Ac-2550,Arthrobacter permensis VKM Ac-2550,Complete
Bacteria,2865155884,Genome Analysis (Isolate),merA & merB-like,1,,2865156285,,,,,,,,0,1,117alt only,117alt:2865156284,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter rhombi,Arthrobacter rhombi B Ar 00.02,Complete
Bacteria,2519103017,Genome Analysis (Isolate),merA & merB-like,1,,2519156932,,,,,,,,0,1,117alt only,117alt:2519156931,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. Br18,Arthrobacter sp. Br18,Complete
Bacteria,2518645508,Genome Analysis (Isolate),merA & merB-like,1,,2518676515,,,,,,,,0,1,117alt only,117alt:2518676516,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. H20,Arthrobacter sp. H20,Complete
Bacteria,2551306098,Genome Analysis (Isolate),merA & merB-like,1,,2551763843,,,,,,,,0,1,117alt only,117alt:2551763842,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. M2012083,Arthrobacter sp. M2012083,Complete
Bacteria,2791354802,Genome Analysis (Isolate),merA & merB-like,1,,2791553424,,,,,,,,0,1,117alt only,117alt:2791553425,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. MYb211,Arthrobacter sp. MYb211,Complete
Bacteria,2791354806,Genome Analysis (Isolate),merA & merB-like,1,,2791568080,,,,,,,,0,1,117alt only,117alt:2791568081,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. MYb221,Arthrobacter sp. MYb221,Complete
Bacteria,2751185875,Genome Analysis (Isolate),merA & merB-like,1,,2753664186,,,,,,,,0,1,117alt only,117alt:2753664187,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. QXT-31,Arthrobacter sp. QXT-31,Complete
Bacteria,2643221705,Genome Analysis (Isolate),merA & merB-like,1,,2644580511,,,,,,,,0,1,117alt only,117alt:2644580512,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. Soil736,Arthrobacter sp. Soil736,Complete
Bacteria,2563366511,Genome Analysis (Isolate),merA & merB-like,1,,2563415395,,,,,,,,0,1,117alt only,117alt:2563415394,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. UNC362MFTsu5.1,Arthrobacter sp. UNC362MFTsu5.1,Complete
Bacteria,2834564487,Genome Analysis (Isolate),merA & merB-like,1,,2834565054,,,,,,,,0,1,117alt only,117alt:2834565053,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium casei,Brevibacterium casei M40,Complete
Bacteria,2634166182,Genome Analysis (Isolate),merA & merB-like,1,,2634664942,,,,,,,,0,1,117alt only,117alt:2634664943,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium sandarakinum,Brevibacterium sandarakinum DSM 22082,Complete
Bacteria,2846697172,Genome Analysis (Isolate),merA & merB-like,1,,2846700027,,,,,,,,0,1,117alt only,117alt:2846700026,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium sp. CS2,Brevibacterium sp. CS2,Complete
Bacteria,2778260926,Genome Analysis (Isolate),merA & merB-like,1,,2778307919,,,,,,,,0,1,117alt only,117alt:2778307920,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Calidifontibacter,Calidifontibacter indicus,Calidifontibacter indicus DSM 22967,Complete
Bacteria,2731957606,Genome Analysis (Isolate),merA & merB-like,1,,2732397424,,,,,,,,0,1,117alt only,117alt:2732397425,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Cellulosimicrobium,Cellulosimicrobium funkei,Cellulosimicrobium funkei NBRC 104118,Complete
Bacteria,2515154029,Genome Analysis (Isolate),merA & merB-like,1,,2515277234,,,,,,,,0,1,117alt only,117alt:2515277235,,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium doosanense,"Corynebacterium doosanense CAU 212, DSM 45436",Complete
Bacteria,2639762811,Genome Analysis (Isolate),merA & merB-like,1,,2640804027,,,,,,,,0,1,117alt only,117alt:2640804028,,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium doosanense,"Corynebacterium doosanense CAU 212, DSM 45436",Complete
Bacteria,2862061221,Genome Analysis (Isolate),merA & merB-like,1,,2862062383,,,,,,,,0,1,117alt only,117alt:2862062382,,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium hadale,Corynebacterium hadale NML92-0415,Complete
Bacteria,2690315770,Genome Analysis (Isolate),merA & merB-like,1,,2691031034,,,,,,,,0,1,117alt only,117alt:2691031035,,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium oculi,Corynebacterium oculi NML 130210,Complete
Bacteria,2600255151,Genome Analysis (Isolate),merA & merB-like,1,,2601098895,,,,,,,,0,1,117alt only,117alt:2601098896,,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium otitidis,Corynebacterium otitidis ATCC 51513,Complete
Bacteria,2537561797,Genome Analysis (Isolate),merA & merB-like,1,,2538665917,,,,,,,,0,1,117alt only,117alt:2538665918,,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium otitidis,Corynebacterium otitidis ATCC 51513,Complete
Bacteria,2623620536,Genome Analysis (Isolate),merA & merB-like,1,,2624812100,,,,,,,,0,1,117alt only,117alt:2624812101,,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium otitidis,Corynebacterium otitidis DSM 8821 Genome sequencing,Complete
Bacteria,2865627506,Genome Analysis (Isolate),merA & merB-like,1,,2865628910,,,,,,,,0,1,117alt only,117alt:2865628909,,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium sp. HMSC034A01,Corynebacterium sp. HMSC034A01,Complete
Bacteria,2868013923,Genome Analysis (Isolate),merA & merB-like,1,,2868015134,,,,,,,,0,1,117alt only,117alt:2868014501,,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium sp. HMSC071B10,Corynebacterium sp. HMSC071B10,Complete
Bacteria,2751185912,Genome Analysis (Isolate),merA & merB-like,1,,2753832952,,,,,,,,0,1,117alt only,117alt:2753832951,,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium sp. NML120713,Corynebacterium sp. NML120713,Complete
Bacteria,2718218447,Genome Analysis (Isolate),merA & merB-like,1,,2721512042,,,,,,,,0,1,117alt only,117alt:2721512041,,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium sp. NML98-0116,Corynebacterium sp. NML98-0116,Complete
Bacteria,2667527402,Genome Analysis (Isolate),merA & merB-like,1,,2668003112,,,,,,,,0,1,117alt only,117alt:2668003111,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Cryobacterium,Cryobacterium psychrotolerans,Cryobacterium psychrotolerans CGMCC 1.5382,Complete
Bacteria,2866038893,Genome Analysis (Isolate),merA & merB-like,1,,2866040179,,,,,,,,0,1,117alt only,117alt:2866040178,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Cryobacterium,Cryobacterium sp. M15,Cryobacterium sp. M15,Complete
Bacteria,2868303204,Genome Analysis (Isolate),merA & merB-like,1,,2868305717,,,,,,,,0,1,117alt only,117alt:2868305716,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Cryobacterium,Cryobacterium sp. TMT1-1,Cryobacterium sp. TMT1-1,Complete
Bacteria,2866008994,Genome Analysis (Isolate),merA & merB-like,1,,2866011451,,,,,,,,0,1,117alt only,117alt:2866011450,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Cryobacterium,Cryobacterium sp. Y57,Cryobacterium sp. Y57,Complete
Bacteria,2832455699,Genome Analysis (Isolate),merA & merB-like,1,,2832457847,,,,,,,,0,1,117alt only,117alt:2832457846,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Dermacoccus,Dermacoccus nishinomiyaensis,Dermacoccus nishinomiyaensis UCD-KPL2528,Complete
Bacteria,2832437313,Genome Analysis (Isolate),merA & merB-like,1,,2832439491,,,,,,,,0,1,117alt only,117alt:2832439490,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Dermacoccus,Dermacoccus nishinomiyaensis,Dermacoccus nishinomiyaensis UCD-KPL2534,Complete
Bacteria,649989926,Genome Analysis (Isolate),merA & merB-like,1,,650228423,,,,,,,,0,1,117alt only,117alt:650228422,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Dermacoccus,Dermacoccus sp. Ellin185,Dermacoccus sp. Ellin185,Complete
Bacteria,2744054500,Genome Analysis (Isolate),merA & merB-like,1,,2744513411,,,,,,,,0,1,117alt only,117alt:2744513410,,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia,Dietzia timorensis,Dietzia timorensis ID05-A0528,Complete
Bacteria,2802428843,Genome Analysis (Isolate),merA & merB-like,1,,2802657371,,,,,,,,0,1,117alt only,117alt:2802657372,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Glutamicibacter,unclassified,Glutamicibacter mishrai S5-52,Complete
Bacteria,2865706887,Genome Analysis (Isolate),merA & merB-like,1,,2865708960,,,,,,,,0,1,117alt only,117alt:2865708959,,,,,,,,,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Glutamicibacter,Glutamicibacter sp. BW78,Glutamicibacter sp. BW78,Complete
Bacteria,2523231046,Genome Analysis (Isolate),merA & merB-like,1,,2523394877,,,,,,,,0,1,117alt only,117alt:2523394878,,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia sihwensis,Gordonia sihwensis NBRC 108236,Complete
Bacteria,2775506968,Genome Analysis (Isolate),merA & merB-like,1,,2776539029,,,,,,,,0,1,117alt only,117alt:2776539028,,,,,,,,,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia sp. YC-JH1,Gordonia sp. YC-JH1,Complete
