Genome Name / Sample Name,IMG Genome ID,Metabolism,Oxygen Requirement,Genome Size  * assembled
Flavonifractor sp. An92,2788500400,,,3488052
Klebsiella pneumoniae OC511,2744054523,,,5618912
Staphylococcus aureus DAR5793,2603879591,,,2889920
Salmonella enterica enterica sv. Heidelberg 21381,2588253813,,,5005516
Pseudomonas sp. GP01-A13,2791355629,,,7356913
Alloactinosynnema sp. L-07,2687453533,,,7405112
Mycobacteroides abscessus PAP006,2690316030,,,4881636
Acidovorax cavernicola 1011MAR4D40.2,2844301416,,,7038667
Mycetocola saprophilus NRRL B-24119,2751185700,,,3448363
Mycobacteroides abscessus abscessus 1031,2795385695,,,5275899
Amycolatopsis regifaucium GY080,2744054546,,,8273016
Staphylococcus simulans UMC-CNS-990,2582580918,,,2755177
Mycobacteroides abscessus abscessus 336,2795385762,,,5045948
Listeria innocua MOD1_LS888,2816332273,,,2890010
Paeniclostridium sordellii W2945,2667527744,,,3463278
Mycobacteroides abscessus abscessus 1039,2795385909,,,5403613
Staphylococcus aureus M121,2648501757,,,2916552
Mycobacteroides abscessus abscessus 214,2799113245,,,5097429
Mycobacteroides abscessus abscessus 1003,2795385706,,,5002552
Streptomyces sp. NRRL B-12105,2767802076,,,8101145
Mycobacteroides abscessus abscessus 170,2799113240,,,4983782
Mycobacteroides abscessus abscessus 332,2795385726,,,4967075
Staphylococcus aureus DAR116,2603879924,,,2901548
Cytobacillus firmus NCTC 10335,2814123191,,,4803910
Staphylococcus aureus DAR5817,2602041855,,,2889826
Clostridium botulinum SU1917,2724679565,,,4265344
Clostridioides difficile DA00215,2541047348,,Anaerobe,3990167
Candidatus Heimdallarchaeota archaeon LC_2,2740891991,,,4842654
Rhodococcus oxybenzonivorans S2-17,2867022365,,,8014224
Staphylococcus aureus DAR5856,2602041850,,,2878469
Clostridium botulinum AM370,2724679560,,,4268375
Enterobacter hormaechei MNCRE85,2703719350,,,4924126
Staphylococcus aureus SJOS6053,2593338909,,,3024112
Mycobacterium conceptionense 1165613.5,2808606799,,,6419545
Bdellovibrionaceae bacterium ARS45,2802429362,,,2895142
Escherichia coli O111 CVM9455,2519899563,,,6002113
Mycobacteroides abscessus abscessus 33,2799113254,,,5607198
Clostridium botulinum CDC41370NT,2700989514,,,3773856
Staphylococcus aureus DAR5858,2576861207,,,2886120
Staphylococcus epidermidis VCU014,2582580757,,Facultative,2510659
Clostridium botulinum SU1112,2724679573,,,3919972
Trinickia dabaoshanensis GIMN1.004,2791355352,,,7085103
Paraclostridium benzoelyticum JC272,2767802767,,,3523632
Clostridioides difficile DA00134,2541047324,,Facultative,4122141
Clostridioides difficile CD206,2541047304,,Anaerobe,4057150
Staphylococcus aureus DAR5885,2602041844,,,2983571
Pseudomonas aeruginosa BWHPSA037,2579778887,,,7197184
Mycobacteroides abscessus abscessus 472,2802429193,,,5098021
Microbacterium sp. Leaf347,2643221919,,,2942136
Clostridium botulinum SU1064,2675903382,,,4326149
Enterococcus faecium VRE-1503646,2728369550,,,3209490
Clostridium botulinum CDC54091,2582580968,,,4079045
Clostridium botulinum CDC54085,2579778957,,,4095763
Mycobacteroides abscessus abscessus 302,2795385771,,,5249130
Clostridioides difficile P51,2541047411,,Anaerobe,4256776
Mycobacteroides abscessus abscessus 378,2802429094,,,5047229
Staphylococcus simulans SNUC 2167,2816332469,,,2591227
Clostridioides difficile CD69,2541047277,,Anaerobe,3996553
Enterobacter hormaechei MNCRE23,2660238069,,,4956559
Mycobacteroides abscessus abscessus 125,2799113021,,,5037390
Klebsiella pneumoniae Kp_Goe_827024,2728369405,,,5907691
Mycobacteroides abscessus 9808,2551306463,,,5204043
Staphylococcus aureus DAR3175,2603879682,,,2942138
Kribbella jejuensis DSM 17305,2806310635,,Aerobe,7505702
Enterobacter hormaechei MNCRE37,2700989499,,,4963540
Clostridium botulinum KF Meyer 126,2713897204,,,3891395
Nocardia seriolae N-2927,2568526174,,,7729227
Staphylococcus aureus aureus 55/2053,2561511148,,Facultative,2777368
Peptoclostridium acidaminophilum al-2,2562617038,"Aminoacid degrading, Acetate producer",Anaerobe,3055036
Staphylococcus aureus D71,2734482433,,,2998894
Nisaea sp. BAL199,641380442,,,6102701
Pseudomonas putida mt-2,2675902956,,,6313443
Mycobacteroides abscessus abscessus 623,2795386039,,,5197581
Staphylococcus aureus DAR5811,2568526615,,,2852802
Mycobacteroides abscessus abscessus 446,2802428873,,,5201529
Mycobacteroides abscessus abscessus 339,2795386043,,,5042485
Staphylococcus aureus LIT68,2734482449,,,2879299
Staphylococcus haemolyticus 96671,2675903582,,,2471337
Sphingobium fuliginis KK22,2571042868,,,4916599
Staphylococcus aureus aureus Gv51,2687453377,,,2990027
"Marinithermus hydrothermalis T1, DSM 14884",2504643006,,Obligate aerobe,2269167
Negativibacillus massiliensis Marseille-P3213,2788500069,,,2876881
Dictyobacter kobayashii Uno11,2848425531,,,8854844
Mycobacteroides abscessus abscessus 1023,2799113099,,,5302140
Escherichia coli 50639799,2667527584,,,5320574
Agromyces sp. NDB4Y10,2744054554,,,3336617
Enterobacter hormaechei MNCRE28,2693429525,,,4917207
Chloroflexi bacterium T81,2503242005,,,5892969
Mycobacteroides abscessus abscessus 19,2795385679,,,5077328
Acidithrix ferrooxidans Py-F3,2585428127,,Aerobe,4019866
Clostridium sporogenes 11579,2660238550,,,4021540
"Simkania negevensis Z, ATCC VR-1471",650716085,,,2628375
Nitrospirae bacterium CG08_land_8_20_14_0_20_52_24,2786546396,,,2946385
Corynebacterium lubricantis DSM 45231,2515154018,,,2945890
Thioalkalivibrio sp. ALMg2,2521172665,,,2918561
Oceanicaulis sp. CPC46,2788500406,,,2968318
Marmoricola sp. CNJ780,2596583518,,,7086425
Mycobacteroides abscessus abscessus 418,2795385631,,,5451996
beta proteobacterium FWI2,2590828102,,,7334207
Agromyces flavus DSM 22059,2634166342,,,3692308
Streptomyces sp. NRRL F-6674,2767802013,,,8111627
Candidatus Manganitrophus noduliformans Mn-1,2784132095,,,5171380
Rhodococcus ruber NBRC 15591,2814123366,,,5331223
unclassified Thiotrichaceae bin E4_68,2767802433,,,4107750
Mycobacteroides abscessus abscessus 297,2802428941,,,4964989
Mycobacteroides abscessus abscessus 13,2799113076,,,5247463
Clostridioides difficile P38,2541047403,,Anaerobe,4123891
Mycobacteroides abscessus abscessus 408,2795385758,,,5190778
Clostridioides difficile DA00261,2541047353,,Anaerobe,4149930
Paeniclostridium sordellii W2946,2660238585,,,3575752
Clostridioides difficile CD144,2541047292,,Anaerobe,4100776
Clostridioides difficile P8,2541047497,,,4298889
Pseudomonas mandelii LMG 21607,2636416004,,,7041658
Pseudomonas sp. GP01-A15,2791355630,,,7354736
Pseudomonas fluorescens AU14440,2639762981,,,6880893
Mycobacteroides abscessus abscessus 776,2802428960,,,5218743
Rhodococcus ruber YC-YT1,2856988893,,,5907935
Mycobacteroides abscessus abscessus 1058,2795385647,,,5305408
Staphylococcus aureus DAR5824,2602041856,,,2842119
Clostridium botulinum SU1887,2724679566,,,3994490
Clostridioides difficile CD38,2541047264,,Anaerobe,4052306
Staphylococcus aureus aureus HC1340,2687453279,,,3046545
Staphylococcus simulans SNUC 2464,2816332485,,,2623915
Paenibacillus sp. TCA20,2609460327,,,5631423
Staphylococcus simulans SNUC 1396,2816332480,,,2621553
Clostridioides difficile E28,2558309136,,,3983867
Staphylococcus aureus aureus PSP1996,2563366767,,Facultative,2901359
Afipia sp. OHSU_I-C6,2579778826,,,5091428
Amycolatopsis orientalis DSM 46075,2554235157,,Aerobe,9445308
Amycolatopsis mediterranei DSM 40773 (unscreened),2582581013,,Aerobe,10012803
Mesorhizobium sp. NBIMC_P2-C3,2582580991,,,5542402
Mycobacteroides abscessus abscessus 199,2795385595,,,4963496
Clostridium hydrogeniformans DSM 21757,2563366730,,Anaerobe,4106453
Paeniclostridium sordellii JGS445,2667527697,,,3525712
Staphylococcus aureus aureus MRSA_S14,2700989533,,,2835220
Gammaproteobacteria bacterium SG8_15,2654587957,,,2741304
Acinetobacter baumannii ABBL142,2667527623,,,3962225
Enterobacter hormaechei CAV1176,2718218197,,,5043091
Microbacterium sp. CF046,2609459760,,,3993808
Paeniclostridium sordellii SSCC33589,2667527603,,,3447605
Enterobacter hormaechei ST108:941726609,2675903591,,,5192339
Methanosarcinales,2515154035,,,3198961
Clostridioides difficile T19,2558309129,,,3956202
Paenibacillus glucanolyticus SLM1,2690315887,,,7039886
Mycobacteroides abscessus abscessus 589,2795385818,,,5083288
Staphylococcus aureus 546,2851987721,,,2920487
Staphylococcus simulans SNUC 1394,2816332455,,,2705310
Staphylococcus epidermidis 41tr,2545824753,,,2685457
"Clostridium sporogenes 388, DSM 795",2562617037,Aminoacid degrading,Obligate anaerobe,4106655
Clostridium botulinum CDC52271,2681813177,,,3873652
Staphylococcus aureus DAR5851,2568526468,,,2887182
Staphylococcus aureus aureus SK1585,2606217122,,,2797546
Amycolatopsis lurida NRRL 2430,2648501726,,,8987656
Mycobacteroides abscessus abscessus 296,2802428938,,,5263617
Streptomyces scabiei 95-18,2703718891,,,10266621
Mycobacteroides abscessus abscessus 320,2802429000,,,5267733
Staphylococcus condimenti DSM 11674,2687453551,,,2659676
Actinocatenispora sera NRRL B-24477,2751185683,,,6938235
Pseudomonadales bacterium RIFCSPLOWO2_12_60_38,2711768305,,,6161231
Mycobacteroides abscessus abscessus 389,2802429058,,,5014650
Enterobacter asburiae ST252:950126202,2703718695,,,10964122
Mycobacteroides abscessus abscessus 194,2802429025,,,4965401
Microterricola gilva DSM 18319,2806310509,,,3666811
Clostridium botulinum Walls 8G,2724679559,,,4007056
Mycobacteroides abscessus PAP_CF_011g,2695420629,,,5458481
Staphylococcus aureus aureus MRSA_P7,2617271142,,,2808340
Escherichia coli 50822286,2660238507,,,5081523
Staphylococcus aureus DAR5791,2602041766,,,2890568
Mycobacteroides abscessus PAP040,2693429643,,,5389753
Clostridioides difficile CD104,2541047281,,Anaerobe,4067217
Mycobacteroides abscessus abscessus 518,2802429088,,,4957082
Clostridioides difficile P24,2541047395,,Anaerobe,4260276
Murinocardiopsis flavida DSM 45312,2728369519,,Aerobe,7376154
Clostridioides difficile P13,2541047390,,Anaerobe,4026932
Gordonia rubripertincta NBRC 101908,2523231045,,,5204225
Staphylococcus aureus aureus MRSA_P12,2617271118,,,2843459
Clostridioides difficile P64,2558860639,,Anaerobe,4226724
Burkholderia vietnamiensis AU15829,2814123434,,,7383003
Staphylococcus haemolyticus 51-35,2693429590,,,2700442
Clostridioides difficile Z31,2671180842,,,4298263
Afipia sp. OHSU_II-C1,2568526514,,,5084693
Burkholderia sp. SJ98,2531839682,"Degrades aromatic hydrocarbons, Chlorophenol degrading, Degrades organic material",Aerobe,7878727
Enterobacter sp. MGH 15,2571042753,,,5276781
Mycobacterium branderi DSM 44624,2865532394,,,5903509
Staphylococcus aureus MAL11,2734482437,,,2989074
Cycloclasticus zancles 7-ME,2561511209,,,2655425
Burkholderia savannae BDU19,2765235973,,,6858832
Mycobacteroides abscessus abscessus 340,2795386047,,,5265934
Enterobacter hormaechei MNCRE19,2660238213,,,5138403
Jonquetella anthropi E3_33 E1,645951855,,Obligate anaerobe,1786558
Staphylococcus aureus sv. SED CFSAN007850,2861112540,,,2825378
Staphylococcus aureus aureus M809,647533225,,Facultative,2798364
Mycolicibacterium iranicum H39,2675903240,,,6470840
Staphylococcus aureus M418,2734482441,,,2984812
Clostridioides difficile CD105KSE3,2740892351,,,4238479
Enterobacter cloacae AR_0002,2718218012,,,5021981
Maridesulfovibrio frigidus DSM 17176,2565956520,,Anaerobe,4185035
Kibdelosporangium aridum DSM 43828,2595698251,,Aerobe,12276125
Mycobacteroides abscessus abscessus 712,2795385975,,,5334045
Staphylococcus aureus DAR5873,2602041764,,,2913001
Staphylococcus aureus DAR5797,2582581122,,,2890452
Burkholderia sp. bin4_M5,2734482269,,,8453922
Mycobacterium grossiae SCH,2862836763,,,6145628
Caballeronia sordidicola ES_PA-C8,2744055288,,,11252639
Mycobacteroides abscessus abscessus 877,2795385942,,,5516409
Sphingobium sp. DC-2,2585427974,,,4996305
Nocardioides sp. XL1,2788500598,,,5236502
Staphylococcus aureus WAMC6102,2576861063,,,3026307
Rhodococcus pyridinivorans AK37,2513237387,Oil degrading,Aerobe,5244611
Enterobacter hormaechei MNCRE86,2660238611,,,4847530
Clostridioides difficile P6,2541047387,,Anaerobe,4172600
Sphingobium herbicidovorans NBRC 16415,2731957705,,,4077716
Mycobacteroides abscessus abscessus 120,2795385790,,,5519684
Marinobacter sp. ELB17,640612205,Denitrifying,Facultative,4894744
Clostridioides difficile E7,2558309134,,,4210306
Rhodococcus sp. 311R,2706794589,,,6339068
Saccharomonospora sp. CUA673 1kb,2675903211,,,5421117
Clostridioides difficile P46,2541047407,,Anaerobe,4130922
Staphylococcus aureus aureus ATCC BAA-39,648276730,,Facultative,2865318
Paucidesulfovibrio longus DSM 6739,2523533522,"Thiosulfate reducer, Sulfate reducer",Anaerobe,3707427
Paeniclostridium sordellii R30684,2663763516,,,3532187
Clostridioides difficile F152,2541047357,,Anaerobe,4358750
Paeniclostridium sordellii JGS6961,2657244996,,,3541756
Mycobacteroides abscessus abscessus 1104,2795385606,,,5084181
Klebsiella pneumoniae Kp_Goe_152021,2718218006,,,5921376
Enterobacter hormaechei xiangfangensis 40884,2791355284,,,5033180
Mycolicibacterium moriokaense GAS496,2751185543,,,6421161
Salmonella enterica AM04528 plasmid pAM04528,645047375,,,158213
Mycobacteroides abscessus abscessus 371,2795386048,,,5277283
Streptomyces sp. 13-12-16,2865943535,,,8717887
Staphylococcus aureus aureus IS-157,2531839091,,Facultative,2973980
Gordonia sp. IITR100,2834542391,,,5285492
Mycobacteroides abscessus GZ002,2851865106,,,5082434
Clostridium sporogenes NCIMB 10696,2627853631,Aminoacid degrading,Obligate anaerobe,4141984
Clostridioides difficile F525,2541047512,,,4036813
Gemmatimonas sp. SG8_17,2654587953,,,3691854
Mycobacteroides abscessus PAP076,2690316133,,,5463728
Caballeronia sordidicola ES_PA-B12,2757320494,,,11093223
Acinetobacter johnsonii XBB1,2816332596,,,4081329
Staphylococcus aureus DAR5804,2602041854,,,2886693
Staphylococcus aureus aureus MRSA_P11,2617271117,,,2832817
Staphylococcus aureus aureus MRSA_S1,2671180783,,,2784064
Clostridium botulinum SU1274,2724679564,,,4225195
Enhydrobacter aerosaccus SK60,645951810,,Facultative,2702626
Staphylococcus aureus DAR5866,2574180417,,,2972031
Staphylococcus aureus DAR5891,2603879805,,,2912036
Staphylococcus aureus DAR5861,2571042606,,,2891879
Microterricola pindariensis PON 10,2795385486,,,3668807
Staphylococcus aureus M1229,2734482438,,,2802732
Staphylococcus aureus HUV03,2630968900,,,2869383
Streptomyces iakyrus NRRL ISP-5482,2773857974,,,9087492
Herbaspirillum sp. RV1423,2619619206,,,6205344
Gordonia otitidis NBRC 100426,2514885045,,,5295895
Corynebacterium heidelbergense DSM 104638,2862085873,,,2293598
Clostridium botulinum Prevot_594,2651869679,,,4334551
Clostridium botulinum CFSAN001627,2519899574,,,4076805
Mesorhizobium sp. NBIMC_P2-C4,2579778552,,,6363457
Clostridioides difficile CD178,2541047300,,Anaerobe,4015408
Gordonia terrae NBRC 100016,2513237320,,,5669149
Staphylococcus aureus DAR5887,2602041845,,,2975285
Clostridium botulinum SU0945,2724679581,,,4440356
Clostridioides difficile DA00129,2541047320,,Anaerobe,4199060
Clostridioides difficile DA00310,2541047358,,Anaerobe,3916379
Clostridioides difficile CD17,2541047259,,Anaerobe,4164242
Mycobacteroides abscessus abscessus 28,2799113165,,,5450211
Clostridioides difficile CD211,2541047305,,Anaerobe,4060275
Clostridium botulinum Hall 80,2713897206,,,3808085
Oceanithermus desulfurans DSM 15757,2861248673,,Aerobe,2430953
Desmospora sp. 8437,651324024,,,3638920
Clostridioides difficile DA00142,2541047325,,Anaerobe,4183071
Staphylococcus aureus aureus CF-Marseille,645058749,,Facultative,2829971
Clostridioides difficile CD37,2548876768,,Anaerobe,4010233
Clostridium botulinum CDC68016,2700989515,,,4089305
Burkholderia multivorans DDS 15A-1,2597490133,,,7281867
"Novosphingobium nitrogenifigens Y88, DSM 19370",2515154075,Nitrogen fixation,Aerobe,4148973
Enterobacter hormaechei hoffmannii MRSN 11248,2639762822,,,5108163
"Pseudomonas aeruginosa R. Hugh 813, ATCC 97",2510461034,,,6976742
Streptomyces mobaraensis NBRC 13819,2537561865,,,7477811
Clostridioides difficile P7,2541047388,,Anaerobe,4049588
Mycobacteroides abscessus abscessus 5,2799113141,,,5377126
Clostridioides difficile CD159,2541047289,,Anaerobe,3992130
Novosphingobium kunmingense CGMCC 1.12274,2718217687,,,3495912
Staphylococcus haemolyticus 51-39,2681813280,,,2506399
Cycloclasticus sp. from gill tissue of Bathymodiolus heckerae (specimen P),2636416012,,,2130426
Pseudomonas synxantha LMG 2190,2667527385,,,6841916
Pseudomonas sp. NBRC 111137,2695420601,,,6712454
uncultured bacterium WSgam209 (contamination screened),2599185142,,,1970796
Clostridium botulinum ATCC 17843,2724679551,,,3897074
Clostridioides difficile P50,2541047408,,Anaerobe,4401520
Streptomyces lividans 1326,2597490034,,,8496762
Afipia sp. OHSU_II-C2,2582580976,,,5082998
Mycetocola saprophilus B24118,2751185657,,,3447926
Staphylococcus aureus aureus MRSA_S1,2671180486,,,2880625
Amycolatopsis marina CGMCC 4.3568,2667527405,,,7020699
Staphylococcus aureus 1680,2740892434,,,2946311
Pseudomonas synxantha finPsuedoS,2788499840,,,6400144
Mycobacterium conceptionense ACS2738,2808606718,,,6446272
Escherichia coli H4H plasmid peH4H,645047334,,,148105
Amycolatopsis vancoresmycina NRRL B-24208,2772190728,,,9825044
Burkholderia savannae MSMB0852,2775507275,,,7081173
Unclassified Zetaproteobacteria bacterium 664-SC8_FULL_No.8_1.0_78,2836451291,,,1590716
Staphylococcus aureus aureus MRSA_S2,2667527689,,,2881892
Thioalkalivibrio sp. AKL9,2518285532,,,2822887
Staphylococcus aureus FRICAR,2734482432,,,2872959
Clostridioides difficile P70,2541047416,,Anaerobe,4054852
Staphylococcus aureus HST-077,2588254168,,,3045663
Mycobacteroides abscessus abscessus 166,2795385879,,,4983771
Mycobacteroides abscessus abscessus 318,2802428954,,,4962989
Enterobacter hormaechei oharae 34978,2728369351,,,5160986
Paraclostridium bifermentans ATCC 638,2541047518,,,3609653
Desulfonatronum sp. SC1,2833560874,,,4164174
Clostridioides difficile P33,2558860635,,Anaerobe,4103431
Paeniclostridium sordellii W3026,2660238633,,,3500168
Amycolatopsis cihanbeyliensis DSM 45679,2806310631,,Aerobe,7435439
Clostridium botulinum CDC41370,2657245102,,,3714265
Caballeronia udeis ES_PA-B7,2740891879,,,11664561
Mycobacteroides abscessus abscessus 1105,2795385582,,,5081662
